"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd","asdate"
"1","USGS","09066000",1947-10-01,6,"A",1947-10-01
"2","USGS","09066000",1947-10-02,6,"A",1947-10-02
"3","USGS","09066000",1947-10-03,6,"A",1947-10-03
"4","USGS","09066000",1947-10-04,6,"A",1947-10-04
"5","USGS","09066000",1947-10-05,6,"A",1947-10-05
"6","USGS","09066000",1947-10-06,6,"A",1947-10-06
"7","USGS","09066000",1947-10-07,6,"A",1947-10-07
"8","USGS","09066000",1947-10-08,6,"A",1947-10-08
"9","USGS","09066000",1947-10-09,6,"A",1947-10-09
"10","USGS","09066000",1947-10-10,6,"A",1947-10-10
"11","USGS","09066000",1947-10-11,6,"A",1947-10-11
"12","USGS","09066000",1947-10-12,6,"A",1947-10-12
"13","USGS","09066000",1947-10-13,6,"A",1947-10-13
"14","USGS","09066000",1947-10-14,6,"A",1947-10-14
"15","USGS","09066000",1947-10-15,6,"A",1947-10-15
"16","USGS","09066000",1947-10-16,6,"A",1947-10-16
"17","USGS","09066000",1947-10-17,6,"A",1947-10-17
"18","USGS","09066000",1947-10-18,6,"A",1947-10-18
"19","USGS","09066000",1947-10-19,6,"A",1947-10-19
"20","USGS","09066000",1947-10-20,6,"A",1947-10-20
"21","USGS","09066000",1947-10-21,6,"A",1947-10-21
"22","USGS","09066000",1947-10-22,6,"A",1947-10-22
"23","USGS","09066000",1947-10-23,6,"A",1947-10-23
"24","USGS","09066000",1947-10-24,6,"A",1947-10-24
"25","USGS","09066000",1947-10-25,6,"A",1947-10-25
"26","USGS","09066000",1947-10-26,6,"A",1947-10-26
"27","USGS","09066000",1947-10-27,6,"A",1947-10-27
"28","USGS","09066000",1947-10-28,6,"A",1947-10-28
"29","USGS","09066000",1947-10-29,6,"A",1947-10-29
"30","USGS","09066000",1947-10-30,6,"A",1947-10-30
"31","USGS","09066000",1947-10-31,6,"A",1947-10-31
"32","USGS","09066000",1947-11-01,5,"A",1947-11-01
"33","USGS","09066000",1947-11-02,5,"A",1947-11-02
"34","USGS","09066000",1947-11-03,5,"A",1947-11-03
"35","USGS","09066000",1947-11-04,5,"A",1947-11-04
"36","USGS","09066000",1947-11-05,5,"A",1947-11-05
"37","USGS","09066000",1947-11-06,5,"A",1947-11-06
"38","USGS","09066000",1947-11-07,5,"A",1947-11-07
"39","USGS","09066000",1947-11-08,5,"A",1947-11-08
"40","USGS","09066000",1947-11-09,5,"A",1947-11-09
"41","USGS","09066000",1947-11-10,5,"A",1947-11-10
"42","USGS","09066000",1947-11-11,5,"A",1947-11-11
"43","USGS","09066000",1947-11-12,5,"A",1947-11-12
"44","USGS","09066000",1947-11-13,5,"A",1947-11-13
"45","USGS","09066000",1947-11-14,5,"A",1947-11-14
"46","USGS","09066000",1947-11-15,5,"A",1947-11-15
"47","USGS","09066000",1947-11-16,5,"A",1947-11-16
"48","USGS","09066000",1947-11-17,5,"A",1947-11-17
