"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd","asdate"
"1","USGS","07149000",1938-02-11,51,"A",1938-02-11
"2","USGS","07149000",1938-02-12,51,"A",1938-02-12
"3","USGS","07149000",1938-02-13,51,"A",1938-02-13
"4","USGS","07149000",1938-02-14,51,"A",1938-02-14
"5","USGS","07149000",1938-02-15,51,"A",1938-02-15
"6","USGS","07149000",1938-02-16,51,"A",1938-02-16
"7","USGS","07149000",1938-02-17,67,"A",1938-02-17
"8","USGS","07149000",1938-02-18,67,"A",1938-02-18
"9","USGS","07149000",1938-02-19,86,"A",1938-02-19
"10","USGS","07149000",1938-02-20,67,"A",1938-02-20
"11","USGS","07149000",1938-02-21,67,"A",1938-02-21
"12","USGS","07149000",1938-02-22,67,"A",1938-02-22
"13","USGS","07149000",1938-02-23,51,"A",1938-02-23
"14","USGS","07149000",1938-02-24,149,"A",1938-02-24
"15","USGS","07149000",1938-02-25,200,"A",1938-02-25
"16","USGS","07149000",1938-02-26,239,"A",1938-02-26
"17","USGS","07149000",1938-02-27,164,"A",1938-02-27
"18","USGS","07149000",1938-02-28,134,"A",1938-02-28
"19","USGS","07149000",1938-03-01,109,"A",1938-03-01
"20","USGS","07149000",1938-03-02,109,"A",1938-03-02
"21","USGS","07149000",1938-03-03,86,"A",1938-03-03
"22","USGS","07149000",1938-03-04,84,"A",1938-03-04
"23","USGS","07149000",1938-03-05,78,"A",1938-03-05
"24","USGS","07149000",1938-03-06,71,"A",1938-03-06
"25","USGS","07149000",1938-03-07,67,"A",1938-03-07
"26","USGS","07149000",1938-03-08,71,"A",1938-03-08
"27","USGS","07149000",1938-03-09,88,"A",1938-03-09
"28","USGS","07149000",1938-03-10,86,"A",1938-03-10
"29","USGS","07149000",1938-03-11,80,"A",1938-03-11
"30","USGS","07149000",1938-03-12,76,"A",1938-03-12
"31","USGS","07149000",1938-03-13,71,"A",1938-03-13
"32","USGS","07149000",1938-03-14,67,"A",1938-03-14
